k, NA;
reswallow, V;
reswear, V;
reswearing, V;
resweep, V;
resweeping, V;
resweeten, V;
reswell, V;
reswept, V;
reswore, V;
resymbolization, N;
resymbolize, V;
resymbolized, V;
resymbolizing, V;
resyntheses, p;
resynthesis, N;
resynthesize, t;
resynthesized, t;
resynthesizing, t;
resynthetize, t;
resynthetized, t;
resynthetizing, t;
resystematize, t;
resystematized, t;
resystematizing, t;
ret, V;
retable, N;
retabulate, t;
retabulated, t;
retabulating, t;
retack, t;
retail, NAvVt;
retail chain, |h;
retail merchant, |h;
retail price index, |h;
retail store, |h;
retailer, N;
retailing, |N;
retain, tV;
retained, |A;
retained object, h;
retained objective complement, h;
retainer, N;
retaining, |A;
retaining wall, h;
retake, VtN;
retaker, N;
retaking, |N;
retaliate, itV;
retaliated, V;
retaliating, V;
retaliation, N;
retaliative, A;
retaliator, N;
retaliatory, A;
retaliatory eviction, |h;
retallies, p;
retally, N;
retama, |N;
retama raetam, |h;
retan, t;
retanned, t;
retanning, t;
retape, t;
retaped, t;
retaping, t;
retar, t;
retard, tNV;
retardant, NA;
retardate, N;
retardation, N;
retardative, A;
retarded, A;
retarded depression, |h;
retarder, N;
retarding force, |h;
retardment, N;
retariff, t;
retarred, t;
retarring, t;
retaste, V;
retasted, V;
retasting, V;
retaught, V;
retax, t;
retaxation, N;
retch, iNV;
retd, N;
rete, N;
rete malpighii, |h;
reteach, V;
reteaching, V;
retear, V;
retearing, V;
retelegraph, V;
retelephone, V;
retelevise, t;
retell, V;
retelling, V;
retem, N;
retemper, t;
retene, N;
retention, N;
retentionist, N;
retentive, A;
retentively, |v;
retentiveness, |N;
retentivity, N;
retepore, N;
retest, Nt;
retestified, V;
retestify, V;
retestifying, V;
retestimonies, p;
retestimony, N;
rethank, t;
rethatch, t;
rethaw, V;
rethicken, V;
rethink, VN;
rethinking, V;
rethought, V;
rethread, V;
rethreaten, V;
rethresh, t;
retia, p;
retial, A;
retiarius, N;
retiary, A;
reticence, |N;
reticent, A;
reticently, |v;
retick, |V;
reticle, N;
reticula, p;
reticular, A;
reticularly, v;
reticulate, AV;
reticulate python, h;
reticulated, VA;
reticulated python, |h;
reticulately, v;
reticulating, V;
reticulation, N;
reticule, N;
reticulitermes, |N;
reticulitermes flanipes, |h;
reticulitermes lucifugus, |h;
reticulocyte, N;
reticuloendothelial, A;
reticulum, N;
retie, tV;
retied, t;
retiform, A;
retighten, V;
retile, t;
retiled, t;
retiling, t;
retill, t;
retime, t;
retimed, t;
retiming, t;
retin, t;
retina, N;
retinaculum, N;
retinae, p;
retinal, |NA;
retinal cone, |h;
retinal purple, |h;
retinal rod, |h;
retinas, p;
retinene, N;
retinge, t;
retinged, t;
retingeing, t;
retinite, N;
retinitis, N;
retinned, t;
retinning, t;
retinol, N;
retinoscope, N;
retinoscopy, NA;
retint, t;
retinue, N;
retinued, A;
retira, h;
retire, Vt;
retired, VA;
retired person, |h;
retiredly, v;
retiredness, N;
retiree, N;
retirement, NA;
retirement benefit, |h;
retirement check, |h;
retirement fund, |h;
retirement plan, |h;
retirement program, |h;
retirer, N;
retiring, A;
retiringly, i;
retitle, t;
retitled, t;
retitling, t;
retoast, V;
retold, V;
retool, V;
retorsion, N;
retort, VNt;
retorter, N;
retortion, N;
retotal, t;
retotaled, t;
retotaling, t;
retouch, tNV;
retouchable, A;
retoucher, N;
retrace, tV;
retraced, t;
retracing, t;
retrack, V;
retract, tiV;
retractability, N;
retractable, A;
retractation, N;
retracted, |A;
retractibility, N;
retractible, A;
retractile, A;
retractility, N;
retraction, N;
retractively, v;
retractiveness, N;
retractor, N;
retrad, v;
retrade, V;
retraded, V;
retrading, V;
retrain, V;
retraining, |N;
retral, A;
retrally, v;
retranscribe, t;
retranscribed, t;
retranscribing, t;
retranscription, N;
retransfer, Nt;
retransference, N;
retransferred, t;
retransferring, t;
retranslate, tV;
retranslated, t;
retranslating, t;
retranslation, N;
retransmission, N;
retransmit, tV;
retransmitted, t;
retransmitting, t;
retransplant, t;
retransplantation, N;
retraverse, V;
retraversed, V;
retraversing, V;
retread, VtN;
retreaded, V;
retreading, V;
retreat, VtN;
retreatal, A;
retreatant, |N;
retreated, |N;
retreating, |A;
retreatingness, N;
retreative, A;
retrench, Vt;
retrenchment, N;
retrial, N;
retribution, N;
retributive, A;
retributively, v;
retributory, |A;
retried, V;
retrievable, A;
retrieval, N;
retrieve, VN;
retrieved, V;
retriever, N;
retrieving, V;
retro, N;
retro-operative, A;
retroact, i;
retroaction, N;
retroactive, A;
retroactive inhibition, h;
retroactively, |v;
retrobulbar, A;
retrocede, ti;
retroceded, it;
retrocedence, N;
retroceding, it;
retrocession, N;
retrocessive, A;
retrochoir, N;
retrodirective, A;
retrofire, N;
retrofit, V;
retroflection, |N;
retroflex, A;
retroflexed, |A;
retroflexion, N;
retrogradation, N;
retrogradatory, A;
retrograde, AiV;
retrograde amnesia, |h;
retrograded, V;
retrogradely, v;
retrograding, V;
retrogradingly, v;
retrogress, iV;
retrogression, N;
retrogressive, A;
retroject, t;
retrolental, A;
retromandibular vein, |h;
retropack, N;
retrophyllum, |N;
retrorocket, N;
retrorse, A;
retrorsely, v;
retroserrate, A;
retroserrulate, A;
retrospect, NVi;
retrospection, N;
retrospective, AN;
retrospectively, v;
retrospectiveness, N;
retrouss, A;
retroussa, A;
retroussage, N;
retrousse, |A;
retroversion, N;
retrovirus, |N;
retrovision, |N;
retrusion, N;
retrusive, A;
retry, V;
retrying, V;
retsina, N;
retted, t;
retting, t;
rettore, V;
rettorn, V;
retune, t;
retuned, t;
retuning, t;
returf, t;
return, itNV;
return address, |h;
return crease, h;
return key, |h;
return receipt, h;
return ticket, h;
return-flue boiler, h;
returnable, A;
returnee, N;
returning, |A;
returning officer, h;
retuse, A;
retwine, V;
retwined, V;
retwining, V;
retwist, V;
retying, t;
retype, t;
retyped, t;
retyping, t;
reune, |V;
reunification, N;
reunified, t;
reunify, V;
reunifying, t;
reunion, N;
reunionism, N;
reunionist, N;
reunionistic, A;
reunitable, A;
reunite, V;
reunited, ti;
reuniter, N;
reuniting, ti;
reupholster, t;
reupholsterer, N;
reupholsteries, p;
reupholstery, N;
reuptake, |N;
reusability, N;
reusable, A;
reusable program, |h;
reusable routine, |h;
reusabness, N;
reuse, V;
reuseable, A;
reuseabness, N;
reused, V;
reusing, V;
reutilise, t;
reutilised, t;
reutilising, t;
reutilization, N;
reutilize, t;
reutilized, t;
reutilizing, t;
reutter, t;
reutterance, N;
rev, NV;
rev counter, h;
rev up, |V;
revacate, t;
revacated, t;
revacating, t;
revaccinate, t;
revaccinated, t;
revaccinating, t;
revaccination, N;
revalidate, t;
revalidated, t;
revalidating, t;
revalidation, N;
revalorize, t;
revaluate, t;
revaluated, t;
revaluating, t;
revaluation, N;
revalue, Vt;
revalued, t;
revaluing, t;
revamp, tNV;
revamper, N;
revampment, N;
revanche, N;
revanchism, NA;
revaporization, N;
revaporize, V;
revaporized, V;
revaporizing, V;
revarnish, t;
reveal, tNV;
revealability, N;
revealable, A;
revealableness, N;
revealed, |A;
revealed religion, h;
revealedly, v;
revealer, N;
revealing, |NA;
revealingly, v;
revealingness, N;
revealment, N;
revegetate, i;
revegetated, V;
revegetating, V;
revegetation, N;
reveille, N;
revel, VN;
revelation, N;
revelational, A;
revelationist, N;
revelative, A;
revelator, N;
revelatory, A;
reveled, V;
reveler, |N;
reveling, V;
revelled, V;
reveller, |N;
revelling, V;
revelry, N;
revenant, N;
revend, t;
revenge, NtV;
revenged, V;
revengeful, A;
revengefully, v;
revengefulness, N;
revengeless, A;
revenger, N;
revenging, V;
revengingly, v;
reventilate, t;
reventilated, t;
reventilating, t;
reventilation, N;
revenual, A;
revenue, N;
revenue bond, |h;
revenue cutter, h;
revenue enhancement, |h;
revenue tariff, h;
revenued, A;
revenuer, N;
reverable, A;
reverberance, |N;
reverberant, |A;
reverberantly, v;
reverberate, itV;
reverberated, V;
reverberating, VA;
reverberation, N;
reverberation time, h;
reverberative, A;
reverberator, N;
reverberatories, p;
reverberatory, AN;
reverberatory furnace, h;
revere, tNV;
revered, tA;
reverence, NtV;
reverenced, |A;
reverencer, N;
reverend, AN;
reverend dodgson, |h;
reverendship, N;
reverent, A;
reverential, A;
reverentiality, N;
reverentially, v;
reverentialness, N;
reverently, |v;
reverer, N;
reverie, N;
reverification, N;
reverified, t;
reverify, t;
reverifying, t;
revering, t;
revers, N;
reversal, N;
reversal film, h;
reversal plate, h;
reversal process, ht;
reverse, VNA;
reverse bar, h;
reverse bevel, h;
reverse bid, h;
reverse plate, h;
reverse polish notation, |h;
reverse split, |h;
reverse stock split, |h;
reverse transcriptase, h;
reverse-charge, A;
reversed, |A;
reversedly, v;
reversely, v;
reverser, N;
reversibility, N;
reversible, AN;
reversibleness, N;
reversibly, v;
reversing light, h;
reversing prism, h;
reversing thermometer, |h;
reversion, N;
reversionary, |A;
reversionary annuity, h;
reversioner, N;
reversionist, |N;
reversive, |A;
reverso, N;
revert, ViN;
reverter, N;
revertibility, N;
revertible, A;
reverting, |NA;
revertive, A;
revertively, v;
revery, |N;
revest, V;
revet, V;
revetement, |N;
revetment, N;
reveto, t;
revetoed, t;
revetoing, t;
revetted, t;
revetting, t;
reveverberatory, AN;
revibrant, A;
revibrate, V;
revibrated, V;
revibrating, V;
revibration, N;
revictual, V;
revictualed, V;
revictualing, V;
review, VNA;
review article, |h;
review copy, h;
reviewability, N;
reviewable, A;
reviewer, |N;
reviewing stand, |h;
reviewless, A;
revile, V;
reviled, VA;
revilement, N;
reviler, N;
reviling, V;
revilingly, v;
revindicate, t;
revindicated, t;
revindicating, t;
revindication, N;
reviolate, t;
reviolated, t;
reviolating, t;
reviolation, N;
revisal, N;
revise, tNV;
revised, VA;
revised standard version, |h;
revised version, |h;
reviser, |N;
revising, VN;
revision, N;
revisional, A;
revisionary, A;
revisionism, NA;
revisionist, NA;
revisit, V;
revisitable, A;
revisitation, N;
revisory, A;
revisualization, N;
revisualize, V;
revisualized, V;
revisualizing, V;
revitalisation, N;
revitalise, t;
revitalised, t;
revitalising, t;
revitalization, N;
revitalize, tV;
revitalized, tA;
revitalizing, tA;
revivability, N;
revivable, A;
revivably, v;
revival, N;
revivalism, N;
revivalist, NA;
revivalistic, A;
revive, Vt;
revived, VA;
reviver, N;
revivification, N;
revivified, t;
revivify, V;
revivifying, t;
reviving, VA;
revivingly, v;
reviviscence, N;
reviviscent, A;
revivor, N;
revocability, N;
revocable, A;
revocableness, N;
revocably, v;
revocation, N;
revocative, A;
revoice, i;
revoiced, t;
revoicing, t;
revokable, |A;
revoke, tiNV;
revoked, V;
revoking, V;
revolt, NiV;
revolter, N;
revolting, A;
revoltingly, v;
revolute, A;
revolution, N;
revolutionaries, p;
revolutionarily, v;
revolutionariness, N;
revolutionary, NA;
revolutionary calendar, |h;
revolutionary calendar month, |h;
revolutionary group, |h;
revolutionise, t;
revolutionised, t;
revolutioniser, N;
revolutionising, t;
revolutionist, NA;
revolutionize, tV;
revolutionized, t;
revolutionizer, N;
revolutionizing, t;
revolutions per minute, |h;
revolve, Vi;
revolve about, |V;
revolve around, |V;
revolved, VA;
revolver, N;
revolving, A;
revolving charge account, |h;
revolving credit, h;
revolving door, h;
revolving fund, h;
revolvingly, v;
revote, NV;
revoted, V;
revoting, V;
revoyage, NV;
revue, N;
revuist, N;
revulsant, N;
revulsion, N;
revulsionary, A;
revulsive, AN;
revulsively, v;
revved, V;
revving, V;
rewa-rewa, N;
rewager, VN;
rewake, V;
rewaked, V;
rewaken, V;
reward, NtV;
rewardable, |A;
rewardful, |A;
rewarding, A;
rewarm, V;
rewarn, t;
rewarrant, t;
rewash, V;
rewater, V;
rewax, V;
reweaken, V;
rewear, V;
rewearing, V;
reweave, V;
rewed, V;
rewedded, V;
rewedding, V;
reweigh, V;
reweld, V;
rewet, V;
rewiden, V;
rewin, t;
rewind, VtN;
rewirable, A;
rewire, tV;
rewired, t;
rewiring, t;
reword, tV;
rewording, |N;
rework, tV;
reworked, V;
reworked wool, h;
rewound, t;
rewrap, V;
rewrapped, V;
rewrite, VtN;
rewrite man, |h;
rewrite rule, h;
rewriter, N;
rewriting, VN;
rewritten, V;
rewrote, V;
rewwore, V;
rewwove, V;
rex, N;
rex begonia, |h;
reykjavik, |N;
reynard, |N;
reyoke, t;
reyoked, t;
reyoking, t;
rezone, t;
rezoned, t;
rezoning, t;
rf, N;
rfb, N;
rfound, t;
rg, N;
rgen, N;
rgisseur, N;
rh, N;
rh antibody, |h;
rh factor, |h;
rhabdomancy, N;
rhabdomyoma, N;
rhabdovirus, |N;
rhachis, N;
rhadamnathus, |N;
rhagoletis, |N;
rhagoletis pomonella, |h;
rhagon, N;
rhagonoid, A;
rhamnaceae, |N;
rhamnaceous, A;
rhamnales, |N;
rhamnus, |N;
rhamnus californicus, |h;
rhamnus carolinianus, |h;
rhamnus croceus, |h;
rhamnus frangula, |h;
rhamnus purshianus, |h;
rhamphotheca, N;
rhapis, |N;
rhapis excelsa, |h;
rhapis humilis, |h;
rhapsodic, AN;
rhapsodically, |v;
rhapsodies, p;
rhapsodist, N;
rhapsodistic, A;
rhapsodize, Vi;
rhapsodized, V;
rhapsodizing, V;
rhapsody, N;
rhatanies, p;
rhatany, N;
rhb, N;
rhea, N;
rhea americana, |h;
rhebok, N;
rheda, N;
rhedae, p;
rhedas, p;
rheidae, |N;
rheiformes, |N;
rheims-douay bible, |h;
rheims-douay version, |h;
rhein, |N;
rheinland, |N;
rhematic, A;
rhenic, N;
rhenish, |A;
rhenium, N;
rhennish, |N;
rheo, N;
rheobase, N;
rheologic, A;
rheological, A;
rheologist, N;
rheology, N;
rheometer, N;
rheometric, A;
rheometry, N;
rheopexy, N;
rheoscope, N;
rheoscopic, A;
rheostat, N;
rheostatic, A;
rheotactic, A;
rheotaxis, N;
rheotron, N;
rheotrope, N;
rheotropic, A;
rheotropism, N;
rhesus, |N;
rhesus baby, h;
rhesus factor, h;
rhesus monkey, h;
rhet, N;
rhetor, N;
rhetoric, N;
rhetorical, A;
rhetorical device, |h;
rhetorical question, h;
rhetorical stress, h;
rhetorically, |v;
rhetorician, N;
rheum, N;
rheum australe, |h;
rheum cultorum, |h;
rheum emodi, |h;
rheum palmatum, |h;
rheum rhabarbarum, |h;
rheum rhaponticum, |h;
rheumatic, AN;
rheumatic fever, h;
rheumatically, v;
rheumatics, N;
rheumatism, N;
rheumatism weed, |h;
rheumatism-root, N;
rheumatoid, A;
rheumatoid arthritis, h;
rheumatoid spondylitis, |h;
rheumatoidally, v;
rheumatologist, |N;
rheumatology, N;
rheumic, A;
rheumily, v;
rheuminess, N;
rheumy, A;
rhexes, p;
rhexia, |N;
rhexis, N;
rhibhus, |N;
rhibia, p;
rhigolene, N;
rhila, p;
rhinal, A;
rhinaria, p;
rhinarium, N;
rhincodon, |N;
rhincodon typus, |h;
rhincodontidae, |N;
rhine, |N;
rhine river, |h;
rhine wine, |h;
rhineland, |N;
rhinencephalic, A;
rhinencephalon, N;
rhinencephalons, p;
rhinencephalous, A;
rhinestone, N;
rhinitis, N;
rhino, N;
rhinobatidae, |N;
rhinoceros, N;
rhinoceros antiquitatis, |h;
rhinoceros beetle, h;
rhinoceros bird, h;
rhinoceros family, |h;
rhinoceros unicornis, |h;
rhinoceroses, p;
rhinocerotic, A;
rhinocerotidae, |N;
rhinolalia aperta, h;
rhinolalia clausa, h;
rhinolaryngologist, |N;
rhinologic, A;
rhinological, A;
rhinologist, N;
rhinology, N;
rhinolophidae, |N;
rhinonicteris, |N;
rhinonicteris aurantius, |h;
rhinoplastic, A;
rhinoplasty, N;
rhinoptera, |N;
rhinoptera bonasus, |h;
rhinorrhea, N;
rhinos, p;
rhinoscope, N;
rhinoscopy, N;
rhinotermitidae, |N;
rhinotracheitis, |N;
rhipsalis, |N;
rhiptoglossa, |N;
rhizobiaceae, |N;
rhizobium, N;
rhizocarpous, A;
rhizocephalan, NA;
rhizocephalous, A;
rhizoctinia, |N;
rhizoctinia disease, |h;
rhizoctinia solani, |h;
rhizogenic, A;
rhizoid, N;
rhizomatous, A;
rhizomatous begonia, |h;
rhizome, N;
rhizomorph, N;
rhizomorphous, A;
rhizophagous, A;
rhizophora, |N;
rhizophora mangle, |h;
rhizophoraceae, |N;
rhizopod, NA;
rhizopoda, |N;
rhizopodan, AN;
rhizopodous, A;
rhizopogon, |N;
rhizopogon idahoensis, |h;
rhizopogonaceae, |N;
rhizopus, N;
rhizopus nigricans, |h;
rhizopus stolonifer, |h;
rhizosphere, N;
rhizotomies, p;
rhizotomy, N;
rho, N;
rhodamine, N;
rhodanthe, |N;
rhodanthe manglesii, |h;
rhode island, |h;
rhode island bent, |h;
rhode island red, |h;
rhode islander, |h;
rhodes grass, |h;
rhodesia, |N;
rhodesian man, |h;
rhodesian ridgeback, |h;
rhodic, A;
rhodinal, N;
rhodium, N;
rhodochrosite, N;
rhododendron, N;
rhododendron californicum, |h;
rhododendron maxima, |h;
rhododendron viscosum, |h;
rhodolite, N;
rhodonite, N;
rhodophyceae, |N;
rhodophyta, |N;
rhodopsin, N;
rhodosphaera, |N;
rhodosphaera rhodanthema, |h;
rhodymenia, |N;
rhodymenia palmata, |h;
rhodymeniaceae, |N;
rhoeadales, |N;
rhomb, N;
rhombencephalon, N;
rhombencephalons, p;
rhombenla, p;
rhombi, p;
rhombic, A;
rhombic aerial, h;
rhombohedral, A;
rhombohedron, N;
rhomboid, NA;
rhomboidal, |A;
rhomboidally, v;
rhombus, N;
rhombuses, p;
rhonchi, p;
rhonchial, A;
rhonchus, N;
rhone, |N;
rhone river, |h;
rhone wine, |h;
rhone-alpes, |N;
rhotacism, N;
rhotacistic, A;
rhotic, A;
rhubarb, N!V;
rhubarb pie, |h;
rhubarb plant, |h;
rhumb, N;
rhumb line, h;
rhumba, NV;
rhumbatron, N;
rhus, |N;
rhus aromatica, |h;
rhus copallina, |h;
rhus diversiloba, |h;
rhus glabra, |h;
rhus laurina, |h;
rhus ovata, |h;
rhus quercifolia, |h;
rhus radicans, |h;
rhus rhodanthema, |h;
rhus toxicodenedron, |h;
rhus trilobata, |h;
rhus typhina, |h;
rhus verniciflua, |h;
rhus vernix, |h;
rhyacolite, N;
rhyacotriton, |N;
rhyacotriton olympicus, |h;
rhyme, NV;
rhyme royal, h;
rhyme scheme, h;
rhymed, VA;
rhymeless, |A;
rhymester, N;
rhyming, VA;
rhyming slang, h;
rhymster, |N;
rhynchocephalia, |N;
rhynchocephalian, AN;
rhynchoelaps, |N;
rhynchoelaps australis, |h;
rhyncostylis, |N;
rhynia, |N;
rhyniaceae, |N;
rhyolite, N;
rhythm, N;
rhythm method, h;
rhythm method of birth control, |h;
rhythm section, h;
rhythm stick, h;
rhythm-and-blues, N;
rhythmic, AN;
rhythmic pattern, |h;
rhythmical, A;
rhythmically, |v;
rhythmicity, |N;
rhythmics, N;
rhythmist, N;
rhytidectomy, |N;
rhytidoplasty, |N;
rhyton, N;
rhytta, p;
ria, N;
rial, N;
rialto, N;
riant, A;
riantly, v;
riata, N;
rib, NVt;
rib cage, |h;
rib joint pliers, |h;
rib roast, |h;
ribald, AN;
ribaldly, v;
ribaldry, N;
riband, N;
ribband, N;
ribbed, tA;
